solution_id,algorithm,makespan,carbon,truck_id,truck_route,drone_customers
20,NSGAII,240.77,1577.64,1,"[0, 2, 68, 39, 84, 82, 86, 67, 32, 90, 65, 6, 87, 52, 5, 61, 60, 97, 42, 69, 38, 44, 26, 41, 27, 13, 0]",[]
20,NSGAII,240.77,1577.64,2,"[0, 24, 45, 49, 36, 23, 19, 0]",[]
20,NSGAII,240.77,1577.64,3,"[0, 66, 7, 47, 59, 83, 11, 18, 56, 16, 71, 35, 0]",[]
20,NSGAII,240.77,1577.64,4,"[0, 80, 53, 93, 8, 81, 46, 28, 89, 96, 57, 95, 12, 73, 64, 74, 85, 31, 17, 20, 91, 21, 92, 77, 0]","[8, 89]"
20,NSGAII,240.77,1577.64,5,"[0, 100, 76, 55, 75, 9, 10, 14, 98, 88, 63, 78, 30, 15, 40, 99, 50, 43, 48, 62, 58, 94, 51, 79, 29, 4, 0]","[4, 14]"
20,NSGAII,240.77,1577.64,6,"[0, 25, 34, 1, 33, 37, 22, 72, 70, 54, 3, 0]",[]
21,NSGAII,235.07,1588.2,1,"[0, 4, 53, 3, 70, 67, 86, 84, 33, 91, 71, 1, 34, 27, 12, 14, 89, 42, 9, 93, 100, 97, 60, 52, 6, 65, 0]",[89]
21,NSGAII,235.07,1588.2,2,"[0, 80, 94, 79, 29, 75, 81, 76, 8, 57, 10, 98, 85, 63, 74, 78, 64, 30, 88, 15, 17, 20, 43, 48, 62, 92, 0]",[75]
21,NSGAII,235.07,1588.2,3,"[0, 95, 0]",[95]
21,NSGAII,235.07,1588.2,4,"[0, 46, 55, 61, 5, 87, 90, 32, 82, 39, 68, 40, 2, 0]",[]
21,NSGAII,235.07,1588.2,5,"[0, 45, 51, 36, 23, 56, 35, 19, 13, 41, 44, 38, 47, 69, 59, 26, 7, 0]",[35]
21,NSGAII,235.07,1588.2,6,"[0, 24, 49, 66, 28, 96, 83, 11, 73, 31, 16, 18, 21, 37, 22, 72, 54, 58, 77, 50, 25, 99, 0]",[28]
22,NSGAII,234.65,1640.58,1,"[0, 62, 48, 43, 17, 40, 15, 30, 64, 78, 74, 63, 88, 85, 98, 10, 95, 8, 81, 75, 29, 51, 80, 0]",[51]
22,NSGAII,234.65,1640.58,2,"[0, 4, 55, 9, 28, 46, 89, 38, 96, 14, 73, 27, 31, 99, 58, 77, 50, 0]",[]
22,NSGAII,234.65,1640.58,3,"[0, 53, 65, 6, 52, 42, 7, 41, 12, 20, 19, 21, 37, 33, 22, 72, 70, 54, 1, 34, 25, 92, 0]",[]
22,NSGAII,234.65,1640.58,4,"[0, 57, 94, 3, 36, 79, 0]",[]
22,NSGAII,234.65,1640.58,5,"[0, 76, 97, 61, 60, 87, 5, 90, 32, 67, 86, 84, 39, 68, 0]","[60, 86]"
22,NSGAII,234.65,1640.58,6,"[0, 2, 91, 18, 71, 35, 16, 56, 23, 82, 49, 45, 24, 66, 93, 100, 26, 59, 47, 69, 44, 11, 83, 13, 0]",[]
23,NSGAII,224.98,1644.8,1,"[0, 4, 55, 9, 28, 46, 95, 14, 73, 17, 40, 37, 33, 22, 72, 70, 54, 58, 77, 50, 25, 1, 34, 99, 0]",[9]
